,cell_name,total_mass,chr1_mass,cell_type
1621,arc_pair_604281,40.080185,9.73002,CD8+ T cells
1633,arc_pair_218136,42.363218,14.34347,Monocytes
1635,arc_pair_472360,47.377351,13.750388999999998,Monocytes
1662,arc_pair_284,24.788814000000002,7.205472,Monocytes
1668,arc_pair_629269,30.805525,8.742186,NK cells
1669,arc_pair_72850,30.912574,10.242863,NK cells
1670,arc_pair_76813,26.021635000000003,8.036681,CD4+ T cells
1675,arc_pair_655518,263.18477199999995,78.693633,Monocytes
1678,arc_pair_359934,48.134344,13.524271,Monocytes
1680,arc_pair_312065,27.235552,7.042995,CD4+ T cells
1693,arc_pair_430001,486.683848,151.43342,T cells
1707,arc_pair_554537,33.386533,10.978596,CD4+ T cells
1726,arc_pair_393260,23.098351,6.393317,Monocytes
1736,arc_pair_574247,35.885625,11.141701000000001,NK cells
1741,arc_pair_274885,41.461743999999996,11.845148000000002,Monocytes
1746,arc_pair_372760,170.552147,46.479312,Monocytes
1756,arc_pair_570013,25.880716,8.184889,T cells
1759,arc_pair_637037,23.099864,7.260929,Dendritic cells
1762,arc_pair_362127,66.228745,19.015819,Monocytes
1766,arc_pair_434039,27.853051999999998,8.541977,Monocytes
1785,arc_pair_720756,35.275673,10.656808999999999,Monocytes
1790,arc_pair_319605,50.954805,14.050570999999998,Monocytes
1800,arc_pair_546658,75.91265,28.160497,CD4+ T cells
1801,arc_pair_300832,35.277458,9.098624000000001,Monocytes
1806,arc_pair_696145,40.120658999999996,12.739730999999999,B cells
1812,arc_pair_513839,47.897613,13.113972,Monocytes
1816,arc_pair_526624,78.29136100000001,20.497397,Monocytes
1824,arc_pair_2178,101.33873600000001,28.484507999999998,T cells
1832,arc_pair_469941,33.812432,7.948818000000001,Dendritic cells
1839,arc_pair_149052,37.102233,11.050788,Monocytes
1874,arc_pair_420611,22.490034,5.338391,CD4+ T cells
1877,arc_pair_655975,26.068378000000003,7.069782,Monocytes
1902,arc_pair_508275,110.44596499999999,32.74378900000001,NK cells
1911,arc_pair_690316,57.461458,22.134723,Monocytes
1914,arc_pair_367108,33.481849,8.09225,CD4+ T cells
1929,arc_pair_33074,187.32371999999998,59.521915,Monocytes
1938,arc_pair_403167,39.458878,8.171616,NK cells
1946,arc_pair_687191,60.893187,23.247331,Monocytes
1955,arc_pair_186441,29.599228,9.798932,Monocytes
1961,arc_pair_590744,49.81723100000001,13.868467,Monocytes
1963,arc_pair_304758,24.241498,6.313601,Monocytes
1970,arc_pair_275650,23.528298000000003,7.555199,NK cells
1975,arc_pair_697257,23.758122999999998,9.5305,T cells
1976,arc_pair_597202,89.72359800000001,27.766979999999997,T cells
1978,arc_pair_341597,127.00856700000003,36.623592,CD4+ T cells
1986,arc_pair_304534,36.803023,8.394504000000001,CD4+ T cells
2017,arc_pair_593533,35.975879,9.795395,Monocytes
2029,arc_pair_85109,31.635871,9.202051,Dendritic cells
2053,arc_pair_526814,27.611844000000005,6.968591000000001,Monocytes
2055,arc_pair_212623,85.727498,24.546543,Dendritic cells
2061,arc_pair_235550,64.620009,17.311488,CD4+ T cells
2064,arc_pair_375352,44.199817,13.055321,Monocytes
2066,arc_pair_542128,22.388103,7.009137,CD8+ T cells
2067,arc_pair_32814,26.01354,6.424975,Monocytes
2078,arc_pair_541354,33.232595,9.315985999999999,Monocytes
2089,arc_pair_630307,28.601424,5.740572,Monocytes
2093,arc_pair_428379,25.517093,8.455296,Monocytes
2103,arc_pair_311785,90.87712,25.207311999999998,Monocytes
2110,arc_pair_470012,245.75584000000003,95.465915,NK cells
2124,arc_pair_493305,27.348065000000002,7.937971,Monocytes
2156,arc_pair_709934,212.38474000000002,62.02027000000001,T cells
2159,arc_pair_557853,111.31371,32.901331,NK cells
2182,arc_pair_87030,27.486623,7.9656899999999995,Monocytes
2185,arc_pair_278497,62.922804,20.013143,Monocytes
2195,arc_pair_253143,23.496792,6.495978,Monocytes
2208,arc_pair_672836,26.317642,7.019698999999999,NK cells
2210,arc_pair_343364,61.44000200000001,15.816712000000003,CD8+ T cells
2219,arc_pair_171821,32.108395,9.142147999999999,NK cells
2221,arc_pair_556595,35.169729000000004,8.763904,Monocytes
2226,arc_pair_139475,315.48634500000003,72.883633,Monocytes
2230,arc_pair_420358,33.077515000000005,9.701819,T cells
2232,arc_pair_297424,24.553150000000002,7.7441580000000005,B cells
2236,arc_pair_286665,25.099035,7.783758,Monocytes
2242,arc_pair_660734,113.29970500000002,30.499346000000003,T cells
2243,arc_pair_221856,36.462974,10.192016,Dendritic cells
2246,arc_pair_381893,37.941624000000004,14.681019000000001,NK cells
2249,arc_pair_417379,218.627254,53.352774,NK cells
2257,arc_pair_614662,47.963908,12.514344,CD4+ T cells
2264,arc_pair_267871,71.58088500000001,21.912679,CD4+ T cells
2273,arc_pair_702591,26.978369999999998,8.520905,Monocytes
2279,arc_pair_93376,28.580999,8.459135,CD4+ T cells
2297,arc_pair_242953,49.192451,12.077133000000002,Monocytes
2298,arc_pair_149219,26.169456,9.822137000000001,Monocytes
2301,arc_pair_221968,48.273334000000006,14.879532999999999,B cells
2306,arc_pair_179640,70.858855,17.867593999999997,T cells
2313,arc_pair_100299,101.727424,25.22305,Monocytes
2315,arc_pair_264477,26.400278999999998,6.944495,Monocytes
2319,arc_pair_302717,190.48406699999998,57.3523,T cells
2322,arc_pair_590325,33.76703,12.534546,Monocytes
2323,arc_pair_31613,59.529039,19.410832,Monocytes
2336,arc_pair_594223,69.195423,19.521854,NK cells
2339,arc_pair_415606,22.746819000000002,7.131430000000001,Dendritic cells
2347,arc_pair_83458,44.33206199999999,12.720006999999999,Monocytes
2351,arc_pair_591308,35.031745,12.780650999999999,Monocytes
2363,arc_pair_508585,48.034009,10.615203999999999,T cells
2371,arc_pair_445274,49.922271,15.299051,Monocytes
2390,arc_pair_151957,116.134905,33.136079,CD8+ T cells
2395,arc_pair_283324,31.327519,8.85272,T cells
2403,arc_pair_689452,50.516351,15.968425,Monocytes
2407,arc_pair_688613,29.28695,8.611716,Monocytes
2411,arc_pair_421066,24.537289,7.019181,Monocytes
2423,arc_pair_387269,59.111526,18.399600999999997,Monocytes
2439,arc_pair_466502,78.14622,22.232242,CD4+ T cells
