,cell_name,total_mass_4mb_85,total_mass_1mb_95,total_mass_1mb_98,cell_line
168,cell204_HAP1_,69.08180439427251,811.0094639009956,338.4927375352205,HAP1
169,cell310_HAP1_,84.25739747530181,863.528137970806,352.928896176096,HAP1
170,cell445_HAP1_,78.05177615729787,794.5684426513156,347.65939078854694,HAP1
171,cell90_HeLa_,99.94142734870134,904.7680173844399,366.78212861258123,HeLa
172,cell410_HAP1_,39.733978924611094,553.8775982221188,293.0263869219677,HAP1
173,cell183_HeLa_,87.63793626818511,861.2834783699632,363.0465516258169,HeLa
174,cell372_HAP1_,57.4935197438075,684.2292834318606,322.4237473915408,HAP1
175,cell345_HAP1_,103.79593173350932,884.2696701316628,355.5669594263525,HAP1
176,cell427_HAP1_,64.74809133347165,747.2123676420593,333.35989233090936,HAP1
177,cell454_HeLa_,95.439536010219,863.7634319376004,350.8273087418961,HeLa
178,cell611_GM12878_,74.15051203627267,801.5207797688677,352.3106158539208,GM12878
179,cell336_HeLa_,43.38801565401978,601.3836416218021,307.23884287155533,HeLa
180,cell301_HeLa_,94.24216057884871,835.9839161273346,344.51109067775985,HeLa
181,cell463_HeLa_,49.209779985363966,566.8233470298919,286.76815501153715,HeLa
182,cell572_K562_,61.64114314983978,736.3257643649916,326.98865766633236,K562
183,cell222_HeLa_,92.02324371023546,837.8011391655733,343.6621339386831,HeLa
184,cell215_HeLa_,108.60529173773658,918.6611288659847,360.1702357765605,HeLa
185,cell58_HeLa_,89.20147945188839,829.9198450908933,350.6237443173801,HeLa
186,cell545_K562_,104.57994002410257,874.5749745746642,360.08115853343213,K562
187,cell401_HeLa_,82.70629240122764,846.4934474736243,353.43831036143916,HeLa
188,cell363_HeLa_,69.59169515282531,734.8639743432611,321.60480451035664,HeLa
189,cell8_HAP1_,105.82725686193427,932.334512522549,370.8823750891471,HAP1
190,cell240_HeLa_,84.17207216461028,821.680483484465,345.2489229889733,HeLa
191,cell510_K562_,120.43738477087324,914.4042704648655,357.8914383733474,K562
192,cell277_HeLa_,85.7510971502424,824.1660055584332,346.57297977688296,HeLa
193,cell606_GM12878_,87.72566511298406,812.883934628368,338.57005486844656,GM12878
194,cell266_HeLa_,81.68869810741887,818.3338141557626,347.69472711336977,HeLa
195,cell536_K562_,101.85256454605039,883.0988525518435,360.3283389779805,K562
196,cell501_K562_,101.08288864520908,909.5319645806672,364.96400468851203,K562
197,cell251_HeLa_,84.1470592952993,879.6011247790491,360.9263317039208,HeLa
198,cell138_HeLa_,87.57350156717061,856.3802844031117,354.12145932319083,HeLa
199,cell554_K562_,64.18642569879003,706.8063709056078,319.14276076046895,K562
200,cell49_HeLa_,85.60458207064005,899.732083793953,363.4442598866401,HeLa
201,cell233_HeLa_,113.65289806331043,893.7371960781693,355.7001333254383,HeLa
202,cell563_K562_,113.72779498478855,889.9173355184901,361.91545240675634,K562
203,cell472_HeLa_,55.64046045564368,720.0147154722408,334.60177883529553,HeLa
204,cell327_HeLa_,73.07677689985782,836.1207032616658,351.32067065293325,HeLa
205,cell354_HAP1_,82.67676720118834,880.6961032609095,363.005002251328,HAP1
206,cell129_HAP1_,91.71167817938786,853.9975372224093,354.78517352297274,HAP1
207,cell436_HAP1_,111.64116285296308,909.5666340031698,359.3005433164003,HAP1
208,cell569_GM12878_,75.69863767041795,765.022108880339,339.40537130887515,GM12878
209,cell192_HeLa_,102.62140284537972,863.3001300800188,356.2810278188672,HeLa
210,cell81_HeLa_,109.62888407553012,909.3563332540566,365.47038260709337,HeLa
211,cell299_HeLa_,76.24240587217142,790.6001206161338,343.5215402426621,HeLa
212,cell616_K562_,67.38765368518115,693.5105673127764,314.16790730065384,K562
213,cell459_HeLa_,51.571960397505855,711.4386621150891,345.9405705307498,HeLa
214,cell146_HeLa_,102.52750669823703,868.3467007669024,362.7699752369206,HeLa
215,cell171_HeLa_,77.35753409784043,864.6241547923967,357.6305597991833,HeLa
216,cell380_HAP1_,132.05119697115146,932.3457687777476,361.36421619703424,HAP1
217,cell62_HeLa_,89.44662482894165,854.7341542167596,351.76284478426373,HeLa
218,cell294_HAP1_,71.42076407907848,747.4132489585727,331.11392006787696,HAP1
219,cell548_K562_,108.17056077261458,907.5449391459554,363.0893992180073,K562
220,cell55_HeLa_,105.77061362824695,865.7511304227482,351.78461956949684,HeLa
221,cell26_HAP1_,93.61838148254067,883.201012761822,360.22336615431834,HAP1
222,cell102_HAP1_,76.82173836925826,837.173558996592,354.7926794833088,HAP1
223,cell491_HeLa_,31.375502999728702,402.6546884705809,236.8478964687567,HeLa
224,cell44_HAP1_,72.01426469815777,865.5076116147443,359.46915480147084,HAP1
225,cell391_HeLa_,59.80707143513417,687.3968586763074,315.0140096021429,HeLa
226,cell157_HAP1_,88.03475946388987,851.3170380156673,357.90103501386875,HAP1
227,cell599_K562_,74.39410450739848,874.7178762418885,357.01483842024004,K562
228,cell245_HAP1_,122.53303642634052,940.4677872859413,365.44867394164663,HAP1
229,cell404_HAP1_,59.33374476458506,732.7873499360805,330.41160715158503,HAP1
230,cell433_HAP1_,64.3522234270304,633.9738792966544,318.9972230554771,HAP1
231,cell227_HAP1_,44.79006975528133,617.077076449231,310.8951240158284,HAP1
232,cell304_HAP1_,143.28474351979798,974.9855027961553,365.4201323172264,HAP1
233,cell466_HAP1_,37.12388439128573,538.1431039907843,286.43496865005926,HAP1
234,cell388_HeLa_,74.13492383897511,782.7955670539068,337.68188489537283,HeLa
235,cell179_HAP1_,127.82428145516357,933.2027618482887,364.39039524233533,HAP1
236,cell553_GM12878_,65.71731086298695,680.5499034570545,305.62668197592666,GM12878
237,cell451_HAP1_,69.56209915870016,757.239454829611,337.1040527835154,HAP1
238,cell333_HAP1_,71.37601649502508,867.4263134711778,356.7614558650321,HAP1
239,cell422_HeLa_,64.61773989469812,810.5451570497255,345.2712703608922,HeLa
240,cell499_HAP1_,28.34604429169444,443.94795363092817,257.4641247310673,HAP1
241,cell254_HeLa_,79.06188419760929,837.9839941911857,355.2482681796042,HeLa
242,cell19_HeLa_,116.21986679495865,927.4095099708857,368.86795264693586,HeLa
243,cell533_K562_,76.48714386715986,827.3756045618732,354.2562063250509,K562
244,cell263_HeLa_,107.1606591636199,865.8214544385555,351.5756627157927,HeLa
245,cell440_HeLa_,94.10674652901479,831.2938689149914,339.9202467965757,HeLa
246,cell322_HeLa_,114.22139625944278,898.2722331629091,358.96107376666805,HeLa
247,cell315_HeLa_,84.07658664810313,792.4159899545105,344.60640477271204,HeLa
248,cell399_HAP1_,94.21820162069633,924.4979488548184,370.88990704770185,HAP1
249,cell566_K562_,106.85839765011806,893.9720239012986,358.2327072720236,K562
250,cell201_HeLa_,86.71469191308238,834.269498089652,352.53380130337143,HeLa
251,cell557_GM12878_,58.4814282410535,649.3695943138746,305.862624080383,GM12878
252,cell418_HAP1_,47.83659163379238,577.8777961648168,299.73749089260247,HAP1
253,cell585_K562_,106.43812031559276,924.4633450423325,365.69517786527365,K562
254,cell259_HAP1_,64.12272148890342,718.6411845966022,330.92785078680373,HAP1
255,cell23_HAP1_,105.6603041076859,935.8465644140371,373.12563435880065,HAP1
256,cell318_HAP1_,97.7179715307883,858.0643321339769,355.1986446678628,HAP1
257,cell394_HeLa_,100.57472705150637,895.4424164189534,360.9163881618683,HeLa
258,cell76_HAP1_,68.72117181134946,814.8319753401103,354.6719117894837,HAP1
259,cell280_HeLa_,63.641852798812934,744.0995876893619,335.41758130395175,HeLa
260,cell32_HeLa_,99.86548290997614,869.2441638065408,358.42539389206377,HeLa
261,cell518_K562_,100.17043783156052,879.9553524897451,360.9330649838612,K562
262,cell409_HeLa_,76.21253498008475,827.9274717049311,346.8129922868782,HeLa
263,cell50_HeLa_,92.14980755491632,881.5556974831377,362.8444161379963,HeLa
264,cell67_HeLa_,131.71397178134586,896.6326884651872,360.34072593293905,HeLa
265,cell309_HeLa_,75.91715932910367,819.6818629634535,343.08674640533894,HeLa
266,cell385_HAP1_,88.78574663783397,846.4210444381846,352.2262151612131,HAP1
267,cell143_HeLa_,85.93393406610785,865.4017322238399,354.5528892012651,HeLa
268,cell613_K562_,71.30947258890316,771.8476751421144,334.6533912969901,K562
269,cell602_K562_,64.4843457980471,745.5798169352935,335.22880854784125,K562
270,cell152_HeLa_,95.17952766401778,862.7974992214864,353.59170079109157,HeLa
271,cell165_HeLa_,81.78318855923807,839.9374111565356,349.74270112828,HeLa
272,cell41_HeLa_,86.18593030353259,817.7136032917654,351.52694894203916,HeLa
273,cell130_HeLa_,99.4689367401157,884.7171463234649,360.966612202851,HeLa
274,cell107_HeLa_,87.36298961203381,844.310318191674,355.20464503830584,HeLa
275,cell494_HAP1_,67.76391786554544,721.2798324958123,317.05246709739174,HAP1
276,cell98_HAP1_,91.0580242219193,848.6061533474342,348.8914883828159,HAP1
277,cell509_K562_,80.41949498959431,774.8597540035522,339.9820380034595,K562
278,cell14_HeLa_,92.22457342410269,877.9409858051706,364.24793134384095,HeLa
279,cell291_HeLa_,61.25290501662858,591.0086517629557,284.8590553334213,HeLa
280,cell174_HAP1_,86.17830463817904,860.8999601526459,361.0787423124164,HAP1
281,cell89_HeLa_,109.75176607398087,887.2196187115891,362.5099134100313,HeLa
