,file_name,total_mass
455,arc_pair_173986,16.11305856525742
456,arc_pair_161542,55.00599015743647
457,arc_pair_435243,14.008386752831338
458,arc_pair_716576,10.129931643253135
459,arc_pair_492573,23.055348576412683
460,arc_pair_91300,15.775408691605099
461,arc_pair_256371,25.678177072876935
462,arc_pair_52634,10.364416436464088
463,arc_pair_625932,15.632231806453703
464,arc_pair_729370,6.628525259397856
465,arc_pair_177029,11.913781348467818
466,arc_pair_218988,15.353053148324399
467,arc_pair_419269,38.86845525843057
468,arc_pair_561639,17.170222328338085
469,arc_pair_100114,18.50204511912292
470,arc_pair_450656,7.812065253395164
471,arc_pair_583903,13.986954869759783
472,arc_pair_271452,26.701263932590262
473,arc_pair_374532,25.64799106612493
474,arc_pair_179037,19.15874742933665
475,arc_pair_593450,24.60844576494082
476,arc_pair_171407,152.0040851935966
477,arc_pair_325643,46.070820872749465
478,arc_pair_217450,43.062054099647376
479,arc_pair_657420,15.939857665885064
480,arc_pair_599773,25.186742411161376
481,arc_pair_503678,29.355754229117366
482,arc_pair_13545,20.948872971862805
483,arc_pair_509275,22.61241824614908
484,arc_pair_78908,9.034610337028454
485,arc_pair_289518,22.181506713406975
486,arc_pair_534858,10.846594972923263
487,arc_pair_161329,11.397043164246362
488,arc_pair_424239,11.087684649644306
489,arc_pair_447717,38.6491283233763
490,arc_pair_177707,59.80682474764068
491,arc_pair_170492,18.914563390379588
492,arc_pair_564745,8.855752137475662
493,arc_pair_70987,50.55341971617068
494,arc_pair_96304,21.991782779564133
495,arc_pair_1915,15.617044466646771
496,arc_pair_276905,8.449923400995788
497,arc_pair_332539,27.250570322032996
498,arc_pair_681253,36.59652442091909
499,arc_pair_5055,30.168404837094663
500,arc_pair_626426,24.305908351960984
501,arc_pair_162913,21.928209270535604
502,arc_pair_356382,12.951677390693744
503,arc_pair_571052,17.27841500208073
504,arc_pair_568273,7.474028230765117
505,arc_pair_106701,13.136177028951113
506,arc_pair_436711,43.217817923382015
507,arc_pair_86754,12.836480846315965
508,arc_pair_59243,9.356926771457085
509,arc_pair_515939,13.649269888064858
510,arc_pair_114415,9.379816417243102
511,arc_pair_672502,21.556317932604443
512,arc_pair_14845,56.55571113234276
513,arc_pair_424055,19.085765603951504
514,arc_pair_730413,21.455128919749647
515,arc_pair_107393,22.67242474279182
516,arc_pair_263984,17.114939512425536
517,arc_pair_662152,34.17490751030398
518,arc_pair_48281,11.395805361359322
519,arc_pair_356802,9.677310645820672
520,arc_pair_364973,26.686501794711365
521,arc_pair_327412,8.949146502672567
522,arc_pair_594638,8.998786511476867
523,arc_pair_445950,11.28845915458039
524,arc_pair_89337,21.2348055672122
525,arc_pair_515485,27.117152111441236
526,arc_pair_378815,8.55256446585435
527,arc_pair_37299,32.016155326313545
528,arc_pair_214856,18.6437498832365
529,arc_pair_398712,12.270633680922025
530,arc_pair_389103,15.409182656685147
531,arc_pair_500687,26.990591307088028
532,arc_pair_190015,12.285538136339616
533,arc_pair_143872,9.628454305698888
534,arc_pair_267882,25.819547980928803
535,arc_pair_369707,10.312462174702443
536,arc_pair_211357,10.369298020997183
537,arc_pair_329549,18.64794024110643
538,arc_pair_298020,12.59831063409342
539,arc_pair_578068,14.018540367436376
540,arc_pair_395507,8.96208288703963
541,arc_pair_80531,21.166176983217966
542,arc_pair_716043,17.86807884071493
543,arc_pair_15665,12.135318085158191
544,arc_pair_361340,201.72822664087454
545,arc_pair_71174,17.36016529887667
546,arc_pair_294977,13.661176215799987
547,arc_pair_608295,20.04319603592443
548,arc_pair_50279,132.44959801371482
549,arc_pair_33757,290.4674153185164
550,arc_pair_673221,10.70065905845049
551,arc_pair_120428,19.76166957555052
552,arc_pair_633595,18.520230876865668
553,arc_pair_47416,9.567546603277869
554,arc_pair_116849,16.205176532731485
555,arc_pair_700894,19.71003301244315
556,arc_pair_35379,28.801390498261874
557,arc_pair_476744,26.82252564536129
558,arc_pair_21290,22.590651606119195
559,arc_pair_145894,39.44382259888296
560,arc_pair_122550,10.895262179248792
561,arc_pair_276358,15.342357292530973
562,arc_pair_310716,14.29831322353229
563,arc_pair_463950,21.344020242613684
564,arc_pair_199756,10.558396566001385
565,arc_pair_9328,3.864111563655473
566,arc_pair_376190,10.687292252620814
567,arc_pair_329928,7.5674946673088845
568,arc_pair_701769,18.87202438614846
569,arc_pair_20194,8.748685496868973
570,arc_pair_118912,10.057600434310533
571,arc_pair_496906,10.599489006925303
572,arc_pair_327936,20.026893455322714
573,arc_pair_61898,22.35904937564926
574,arc_pair_429240,33.70349292261976
575,arc_pair_650957,39.72284377542718
576,arc_pair_129936,11.09644180973919
577,arc_pair_443666,21.25319270741589
578,arc_pair_436766,7.971286845368692
579,arc_pair_105859,53.49885662016923
580,arc_pair_647841,31.811458700357377
581,arc_pair_534069,15.931966612974081
582,arc_pair_522447,15.546904092471102
583,arc_pair_14218,16.799449233716476
584,arc_pair_50015,299.90715624797986
585,arc_pair_100358,13.758283049917718
586,arc_pair_295059,19.597822420701842
587,arc_pair_570264,44.990251669234716
588,arc_pair_526404,28.415280174313892
589,arc_pair_11919,12.022324909747294
590,arc_pair_176927,16.433852190634582
591,arc_pair_202760,25.34301766579786
592,arc_pair_413582,11.860873282442746
593,arc_pair_632107,11.681054631439387
594,arc_pair_456521,7.833253987145918
595,arc_pair_403994,14.05660243995533
596,arc_pair_492380,8.00977843022605
597,arc_pair_716690,7.751198721363878
598,arc_pair_200618,8.74515115034778
599,arc_pair_701505,25.8089917464009
600,arc_pair_606458,244.75126392687574
601,arc_pair_140950,10.973225276979894
602,arc_pair_367017,139.49398856250843
603,arc_pair_117188,10.321154360758321
604,arc_pair_218228,28.588961591584468
605,arc_pair_658258,18.212477474678433
606,arc_pair_351826,132.0462356534966
607,arc_pair_300983,21.141753074634146
608,arc_pair_10963,12.794898065051616
609,arc_pair_318664,10.774785197788177
610,arc_pair_562062,35.61222417269944
611,arc_pair_610308,6.856786509704104
612,arc_pair_6435,27.063914468550028
613,arc_pair_191624,29.82685400203819
614,arc_pair_657729,16.388684061259216
615,arc_pair_475996,12.195810812562378
616,arc_pair_562432,127.293268209811
617,arc_pair_271075,10.411010469356544
618,arc_pair_376128,11.705950943239078
619,arc_pair_387097,38.19607493508375
620,arc_pair_587937,31.345445458687955
621,arc_pair_595459,12.748398321896648
622,arc_pair_275466,20.02139304517928
623,arc_pair_370506,8.347708321241317
624,arc_pair_155986,6.7136556383120904
625,arc_pair_120886,61.143592506135164
626,arc_pair_346988,342.9233053931582
627,arc_pair_702112,11.328120343616787
628,arc_pair_76609,6.106021459618834
629,arc_pair_445136,13.303466223298516
630,arc_pair_386669,37.104051050939205
631,arc_pair_264298,9.130446238975773
632,arc_pair_163508,16.10009010168619
633,arc_pair_621510,15.227231684793761
634,arc_pair_342532,12.104228941820587
635,arc_pair_710986,11.134495764301652
636,arc_pair_10575,13.640457865319025
637,arc_pair_447808,10.784346957812724
638,arc_pair_471469,60.66224950680095
639,arc_pair_706501,12.723368062938551
640,arc_pair_565748,226.96413922418844
641,arc_pair_667720,72.11769943019944
642,arc_pair_284865,15.877080827015082
643,arc_pair_704496,13.55308247031394
644,arc_pair_728003,57.05726507151449
645,arc_pair_253368,27.814054768521657
646,arc_pair_621793,29.901269310819924
647,arc_pair_151300,26.05871927554981
648,arc_pair_656354,8.245174370309883
649,arc_pair_307657,19.05102496095977
650,arc_pair_645128,17.905298249464963
651,arc_pair_452923,14.132027802294795
652,arc_pair_153297,12.26889154123975
653,arc_pair_121452,10.601057668861253
654,arc_pair_357419,14.13376035426922
655,arc_pair_40412,17.453287878601405
