,cell_name,cell_type,total_mass
427,arc_pair_41698,Dendritic cells,16.55423860294781
428,arc_pair_41895,T cells,13.27253240033509
429,arc_pair_41917,T cells,16.377210374022077
430,arc_pair_42119,T cells,8.700848438102584
431,arc_pair_42191,B cells,46.37192127254069
432,arc_pair_42544,CD4+ T cells,7.683693177898876
433,arc_pair_42568,CD8+ T cells,20.846756825447784
434,arc_pair_42601,CD8+ T cells,14.625546982512022
435,arc_pair_42612,CD4+ T cells,10.180057747834454
436,arc_pair_42709,NK cells,23.0208694492599
437,arc_pair_42831,CD4+ T cells,18.945951510160587
438,arc_pair_42858,CD4+ T cells,12.697801031429892
439,arc_pair_42986,T cells,10.646294789500647
440,arc_pair_43219,NK cells,12.81915237787124
441,arc_pair_43318,CD4+ T cells,10.261228090361678
442,arc_pair_43333,Monocytes,21.923384937131782
443,arc_pair_43371,CD4+ T cells,11.82882882882883
444,arc_pair_43381,Monocytes,39.77853678529954
445,arc_pair_43397,NK cells,11.818090647826606
446,arc_pair_43494,Monocytes,53.28452170650492
447,arc_pair_43532,T cells,13.81002849002849
448,arc_pair_43654,CD4+ T cells,22.55627861546914
449,arc_pair_43659,T cells,20.18753417167851
450,arc_pair_43660,Monocytes,24.256629281864026
451,arc_pair_43677,Monocytes,18.074729967344886
452,arc_pair_43682,CD4+ T cells,13.452733671632018
453,arc_pair_43704,Monocytes,43.85710025984352
454,arc_pair_43899,Dendritic cells,9.213431487548709
455,arc_pair_43901,NK cells,14.122862622388208
456,arc_pair_44092,Monocytes,39.316924265842346
457,arc_pair_44097,B cells,19.58599775365032
458,arc_pair_44162,T cells,13.90899472299004
459,arc_pair_44188,Dendritic cells,20.721278239042288
460,arc_pair_44239,NK cells,7.573701484018264
461,arc_pair_44266,Monocytes,18.46506810231473
462,arc_pair_44315,T cells,14.939076022663595
463,arc_pair_44342,T cells,9.158923882347114
464,arc_pair_44554,CD4+ T cells,10.525007771469706
465,arc_pair_44726,CD4+ T cells,11.04670180660056
466,arc_pair_44877,Dendritic cells,26.923299737261488
467,arc_pair_44912,NK cells,22.82191646552886
468,arc_pair_44944,T cells,8.632263291920674
469,arc_pair_44952,CD4+ T cells,8.623726337423086
470,arc_pair_45029,CD4+ T cells,14.74124581647435
471,arc_pair_45235,Monocytes,21.597728958428988
472,arc_pair_45291,T cells,7.0151454585831665
473,arc_pair_45327,NK cells,11.383539839223143
474,arc_pair_45445,T cells,17.798637552775403
475,arc_pair_45484,CD4+ T cells,9.396810059392676
476,arc_pair_46319,Monocytes,17.416669875868088
477,arc_pair_46560,CD4+ T cells,7.977078681203205
478,arc_pair_46696,CD4+ T cells,11.53619623110177
479,arc_pair_46821,T cells,10.418914635066798
480,arc_pair_46837,B cells,17.513885148277822
481,arc_pair_46863,T cells,10.248121827411168
482,arc_pair_46940,CD4+ T cells,26.89205373223361
483,arc_pair_46945,CD4+ T cells,17.78852307568718
484,arc_pair_46960,NK cells,13.539296469532903
485,arc_pair_47034,CD4+ T cells,17.696816633384238
486,arc_pair_47150,T cells,22.034318154439227
487,arc_pair_47156,T cells,10.59176347550807
488,arc_pair_47194,CD4+ T cells,109.82943303442292
489,arc_pair_47269,CD4+ T cells,12.941181865828092
490,arc_pair_47416,T cells,9.567546603277869
491,arc_pair_47447,T cells,7.62105783277477
492,arc_pair_47538,CD8+ T cells,8.829849112122353
493,arc_pair_47946,Monocytes,39.17811106465998
494,arc_pair_48093,NK cells,12.65757821216243
495,arc_pair_48106,Monocytes,16.96751663378711
496,arc_pair_48188,NK cells,44.607263482393975
497,arc_pair_48281,B cells,11.395805361359322
498,arc_pair_48468,Neutrophils,57.91133774676447
499,arc_pair_48534,CD4+ T cells,11.263299036777584
500,arc_pair_48736,Monocytes,201.2899322417359
501,arc_pair_48777,Monocytes,30.81578267830398
502,arc_pair_48812,T cells,24.32743036559549
503,arc_pair_48867,Monocytes,38.23163069253803
504,arc_pair_48916,T cells,14.82851800578918
505,arc_pair_48944,CD4+ T cells,12.375578497686009
506,arc_pair_48973,Monocytes,272.3870147228983
507,arc_pair_49018,NK cells,14.230461863908802
508,arc_pair_49125,T cells,28.70727909692488
509,arc_pair_49390,T cells,305.35595917985205
510,arc_pair_49460,Monocytes,17.897304964539007
511,arc_pair_49574,Dendritic cells,37.07475472462593
512,arc_pair_50015,CD4+ T cells,299.90715624797986
513,arc_pair_50084,Monocytes,7.5952036534484195
