,cell547_K562_,cell126_HeLa_,cell144_HeLa_,cell287_HeLa_,cell253_HeLa_,cell456_HAP1_,cell539_GM12878_,cell150_HeLa_,cell580_GM12878_,cell30_HAP1_,cell504_GM12878_,cell124_HAP1_,cell559_K562_,cell572_K562_,cell102_HAP1_,cell44_HAP1_,cell315_HeLa_,cell557_GM12878_,cell585_K562_,cell76_HAP1_,cell613_K562_,cell601_GM12878_,cell578_GM12878_,cell610_K562_,cell224_HAP1_,cell617_GM12878_,cell568_K562_,cell379_HeLa_,cell56_HAP1_,cell457_HAP1_,cell551_GM12878_,cell519_K562_,cell164_HeLa_,cell450_HeLa_,cell514_K562_,cell595_GM12878_,cell502_GM12878_,cell355_HAP1_,cell500_K562_,cell219_HeLa_
cell124_HAP1_,3.9982938211605017,2.2590590071598626,3.222830534306668,2.1919188600806527,2.962500593827994,4.512637495991184,3.735821347008793,3.50257648288785,4.0066165327266265,3.013021805045236,3.4635396927552864,0.0,3.889580817475346,3.9690653201713744,4.9113931485938185,4.332893033228969,3.1283297401306696,3.5819646911651892,2.6359849651676286,4.074303395270321,3.442319003548626,5.517396906892332,2.905663645659036,4.4728123358548695,3.3240968726938624,3.400297005060894,2.6901019562142627,3.2994506385453777,3.512315777944001,5.338263006912937,3.8718387668038106,4.589788200908112,2.407212045314531,3.742475058174069,2.819737060964569,3.488509243920391,3.795188324932189,3.930170533249272,2.297746700343622,2.33898417595492
cell559_K562_,2.697644970756353,2.594330076044641,2.634719981523392,2.8917038568969615,3.0102023363864454,3.7566116917573433,2.853958546351395,3.6298720291012727,4.285205245371401,5.365014416700282,5.892275871580077,3.889580817475346,0.0,2.697146660489452,3.4621900693887326,3.6678452424903476,2.645282731483033,2.714185718136463,3.099275008695396,3.3013323770997447,2.7004373494175855,3.3901895686645087,5.021965802294728,2.292501181192285,3.813607682310516,4.703162688097519,3.122061221220542,4.230262439677512,3.084255469541726,3.5438474128162554,2.693099637257733,2.6278722740008558,2.8820992582589176,3.1059475119432913,2.736789893075643,2.452527405460577,6.627031860367024,2.830289327738483,3.5565899787934487,3.4522329388563673
cell572_K562_,3.0098864573615174,2.907412721058539,2.640973033292277,3.3261893070994666,3.0650754887496072,3.51144183413314,2.595992705673815,3.784688701671122,5.557208803562314,6.240738423315259,6.489249730123777,3.9690653201713744,2.697146660489452,0.0,3.7983872770803058,3.386099781567649,3.1048831534972736,2.8044308851076565,3.928574035103262,3.291147499268536,2.319693530064412,3.104782892650321,5.419968952992857,2.6625148407767925,3.7571354052847714,5.1384557899296635,3.5967553215249977,5.128461387121916,3.4293658912291396,2.9604963625575653,2.925174448002169,2.598944497781357,3.4497152389638375,3.154830383812374,3.387685398473088,2.78016885408966,7.257177835311648,2.6327153855288232,4.192790453824451,3.726416625219329
cell102_HAP1_,3.636959441322263,3.7468911125895428,3.820277659063326,3.669250893076293,4.116817823039845,4.380132585651729,3.587882680050848,4.159674828570648,6.3571185869618265,6.725737765976778,6.201621845412111,4.9113931485938185,3.4621900693887326,3.7983872770803058,0.0,3.8876161572630705,4.148289570689196,3.5304808398689005,4.491528502998413,3.8622320161341612,3.775001348280557,4.1863679432531535,6.086770919594699,3.5173806054959544,4.572048756246096,5.224088302156661,4.256677821955824,5.534451637864075,4.262418944354367,4.059106000898476,3.6488541097895033,3.8598786511050087,4.1151426475792094,4.2243418636096415,3.8891695079071242,3.509590543070124,7.838510410302974,3.5943498295388725,5.071316327538467,4.16671688373269
cell44_HAP1_,3.5885124243878312,3.6765699283382762,3.206103512299878,3.5009704940525834,3.459375334791731,4.708787117718584,3.3794119797626867,4.450359965999345,5.916774497443438,6.415682971777407,6.081061217575524,4.332893033228969,3.6678452424903476,3.386099781567649,3.8876161572630705,0.0,3.5652085647264653,3.37933296126697,4.6221772992731225,3.3538258533001346,3.16485669130305,4.221256441189778,5.4082624900068375,3.2930836561238923,4.651663904966334,6.075910610360412,4.12682114403567,5.343210137746233,3.8253644632203794,4.134363433381506,3.4418243281758762,3.6990498746153575,3.857814857801407,3.8233074145601034,3.9756751997201,3.509953306505942,7.253631716084665,3.4087699110759644,4.79592123817452,3.9790159007545904
cell315_HeLa_,3.400527505783421,2.1843112197142123,2.276172302125932,2.071376842120693,2.4249804010338663,3.964361111985548,3.0792810840936067,2.7870500090191275,4.537957524353744,3.963279550591494,4.584541203192913,3.1283297401306696,2.645282731483033,3.1048831534972736,4.148289570689196,3.5652085647264653,0.0,3.199121127066331,2.8886537827529337,3.372264229866006,2.9216214969278935,4.225104420682566,4.066848309033286,3.112887691924266,3.3430901422397197,4.165062372926718,2.673969664042225,3.252733357870526,2.8069497138840713,3.6963670077884556,3.1339819762495598,3.160046608810309,2.111107667587164,3.3875097752669463,2.5809121692939296,2.5637143924874257,5.244382912342244,2.5979804522724423,3.0219122994766834,2.4884823772639817
cell557_GM12878_,3.2266875569086695,3.0107779177077054,2.661486901657378,3.077260076276991,3.325156098519705,3.4224405310661545,2.562260022968404,3.78542344689454,4.679708449031237,5.375431293733079,5.659401385636101,3.5819646911651892,2.714185718136463,2.8044308851076565,3.5304808398689005,3.37933296126697,3.199121127066331,0.0,3.8086864507516514,3.05172635941158,2.5720300350074776,2.9310173195530975,5.017076013194386,2.6651098951500396,3.541230809076697,4.585333885345433,3.5513762624259333,4.3103434099519875,3.086251365161459,3.182373183277285,2.6449005642838266,2.8840546117486,3.3178944804901462,3.1936721166188278,3.1209069654130968,2.681867316665329,6.386015599503866,2.7170910965512447,4.043618943670319,3.6856311667694017
cell585_K562_,4.126131698762153,2.2285597446768914,3.3697018633634017,2.152530913732771,3.0085981601752603,4.404196221923531,4.053365064045234,3.0023209849866017,3.6731625403673176,2.5748594605503063,3.475156184746457,2.6359849651676286,3.099275008695396,3.928574035103262,4.491528502998413,4.6221772992731225,2.8886537827529337,3.8086864507516514,0.0,4.3835986534320375,3.2166322915746237,5.879180524530603,2.867819474100126,4.375485903405619,3.4274413978635447,3.244092770608826,2.167059668763641,3.147683711323813,3.6991742260012472,5.677534092683357,4.333694053197676,4.301129285215312,2.1052841951071004,3.7026231457850054,2.5386183618011025,3.4355757206916375,3.893440963468638,3.8181936930700457,1.6471860133029015,2.4240920731206055
cell76_HAP1_,3.420574467176152,3.39606472954758,3.071095565503459,3.2656489322536935,3.4180674269917626,4.618556707802683,3.0660482954107575,4.3452705812859875,5.499363451669154,6.141618528214465,5.859685412116564,4.074303395270321,3.3013323770997447,3.291147499268536,3.8622320161341612,3.3538258533001346,3.372264229866006,3.05172635941158,4.3835986534320375,0.0,3.2842081062104187,3.4202375424709315,5.340469439731711,3.1506037586296305,4.352078511304226,5.341361224941187,3.6296566714019187,4.912707868183186,3.0514765836119357,3.7223985754387257,2.9965363120627155,3.2017885395099714,3.5963346499218307,3.806874328525686,3.265582736699506,2.9928081689639527,6.778984352619811,3.0383085603273674,4.517126636649971,3.7809209115810827
cell613_K562_,2.8722646893792767,2.6615621736363844,2.7436310627154423,2.7601489976548317,3.060402801098113,3.646670878505913,2.5348053520749696,3.4078791208576003,4.739739099346988,5.213259517375497,5.476989625256005,3.442319003548626,2.7004373494175855,2.319693530064412,3.775001348280557,3.16485669130305,2.9216214969278935,2.5720300350074776,3.2166322915746237,3.2842081062104187,0.0,3.696255626837672,4.6396608781987485,2.9277278928709265,3.674493040551008,4.5502534810370365,3.089432357220332,4.700300251918218,2.9849374771690265,3.7484568141517833,2.859942603196259,2.7085723209663746,2.9334392004843206,3.086143886999416,2.98097035283332,2.900192609283833,6.387784965629669,2.746278946555334,3.4380727890921925,3.427503957153606
