,cell264_HAP1_,cell580_GM12878_,cell559_K562_,cell73_HeLa_,cell135_HeLa_,cell288_HeLa_,cell611_GM12878_,cell536_K562_,cell554_K562_,cell548_K562_,cell491_HeLa_,cell179_HAP1_,cell322_HeLa_,cell399_HAP1_,cell201_HeLa_,cell557_GM12878_,cell613_K562_,cell494_HAP1_,cell601_GM12878_,cell578_GM12878_,cell486_HAP1_,cell64_HeLa_,cell109_HeLa_,cell213_HAP1_,cell604_GM12878_,cell574_K562_,cell600_GM12878_,cell617_GM12878_,cell17_HeLa_,cell618_K562_,cell603_GM12878_,cell279_HAP1_,cell592_K562_,cell550_K562_,cell153_HAP1_,cell88_HeLa_,cell516_GM12878_,cell200_HAP1_,cell576_K562_,cell214_HAP1_
cell64_HeLa_,2.9146836966824097,4.112695072034486,4.17449389064561,2.7499242956961316,3.174116594347126,3.588746690881362,4.3497858799197235,3.590045916019087,5.231800912930847,2.812132117628261,7.963947966428737,2.84240947468276,2.766481673322738,4.512444516728193,2.822477908220149,4.468320017796889,3.9883601902663264,5.03741453711281,6.656373901382576,3.2099583975859103,5.063323832205008,0.0,3.762434868040449,2.5632510774218007,3.7646203737025763,2.750038106844425,4.579138729156897,3.2720823325563897,3.5812589531551486,4.056245654863151,4.517163837307477,3.712547547701204,3.536964861302441,2.2347825440863724,4.714908330604957,2.72903394049588,3.4881123516429886,5.176647200581879,2.6762289517913516,3.4864289284518875
cell109_HeLa_,3.161698961792998,5.223960231029533,2.792000571265642,3.4365669067249387,5.361521989603304,2.8785664751996536,3.3816793068646507,3.385676307133831,2.791305063707358,3.7844006460818678,4.453736730183442,5.0668570386911025,4.9138392847682635,4.021586584812763,2.639500220325783,2.721942766246297,2.8848418986757896,3.2374056824485704,3.656431867398636,4.699169732549022,3.3691682735367787,3.762434868040449,0.0,3.0432174862614225,4.067418938378289,3.337464334842329,3.078857883572404,4.645208836466546,3.00295129146605,2.8646939496606008,3.315756744573652,3.1813036821635814,3.3386699886404605,3.638832236258054,3.4628316088178117,4.835343558585123,3.307845975062698,2.8979699362185065,3.1814702615859893,3.230874861019982
cell213_HAP1_,2.5525010981407243,4.082755358993593,3.226669640380452,2.8339450706650373,3.44248648714933,3.0293113886258687,3.9268726384705905,2.838033065529443,4.120655470312514,2.434228458251641,7.527725192179606,2.5724256639785765,3.4026744075270945,3.7342412367350404,2.7440308549607426,3.7612380892033443,3.28077570079611,4.336599809650131,5.7167823928852295,3.1403164844312546,4.387693707891165,2.5632510774218007,3.0432174862614225,0.0,4.105072912904179,2.4971818123700635,3.5559033125938115,3.37902992466779,3.226895209714902,3.4384048033329826,3.658169745605135,3.087483444722946,2.541707963684635,1.7139962294244464,4.08141558086622,3.048672372616307,3.215958456880333,4.405670819495743,2.345134536819739,3.15082744908496
cell604_GM12878_,3.8533175159789126,4.54650235893361,3.9127455964239912,4.325642437050852,5.000706236158108,3.9602028746188798,3.750021071225789,4.265967184360338,4.6028026743725015,3.6626153241752224,6.479421363002368,4.842816449217466,4.543449939767556,4.853570963952591,3.6074693949429006,3.8644047746480146,3.759449983935732,4.857380710201266,4.8956222751545155,4.477880932055701,4.388414305680104,3.7646203737025763,4.067418938378289,4.105072912904179,0.0,3.5678340086206672,3.725896835130424,4.265898928315938,4.26100438259679,3.874688743467338,4.132699709102997,3.7824851313233263,3.904990173109142,4.027565163455993,4.3100334398251015,4.579936729956885,3.828650989079803,4.593536936613953,3.4065660625790266,4.354836727825637
cell574_K562_,2.6930016864356263,3.625527000940863,2.857883871958781,3.1175193467781046,3.1584243439237545,3.472326920336882,4.005080005368949,3.0898336413748693,3.9882027446002617,1.9151660203638872,7.609127474729547,2.8401284249020016,3.0712191265618696,3.9108816727839644,2.722360697629478,3.6639027657041985,3.3641106639807603,4.852003961206692,5.614120748916825,2.7310027452324332,4.739102091129975,2.750038106844425,3.337464334842329,2.4971818123700635,3.5678340086206672,0.0,3.592782434889323,3.2403578804035327,3.2012000087226316,2.835128219899044,3.9471088698866437,2.978366399569385,2.7206455351811334,2.658937219752696,3.8233336455891025,2.901345808340964,3.07954919125037,4.548345924394456,1.8889616739593187,3.300610782554018
cell600_GM12878_,3.67895614746632,5.177377583227819,3.069430375413746,4.2094706791939975,5.531276157132714,3.347207870263554,3.5447050327514695,4.134736709910003,3.6162734769985994,4.083673368134349,4.945287621916746,5.742996067344344,5.273207832815379,4.014048971106972,3.2087909956019436,3.3084727386169996,3.079962561334797,3.9041304208574417,4.056600981670421,4.885194841153835,3.3400147490004963,4.579138729156897,3.078857883572404,3.5559033125938115,3.725896835130424,3.592782434889323,0.0,4.854137334566589,3.6370257671277955,3.20591899744346,3.384146260825312,3.19021644085484,3.94169043338961,4.2414203162279875,3.9620406670108377,5.033921263695117,3.5608211562636916,3.8636267589926785,3.7044158726313237,3.779550497953224
cell617_GM12878_,3.3884301381354316,4.3472514678733605,4.703162688097519,3.9087836758860526,3.720259660790897,4.567092521074988,4.730897366828362,3.7612368521332735,5.535353150356657,3.0788113989337544,8.571535357890241,3.0281745726883997,3.3838465815851517,4.978591780382518,3.4626418378704606,4.585333885345433,4.5502534810370365,5.1518734248556814,6.811759175918944,3.2496201501073685,5.549418001584819,3.2720823325563897,4.645208836466546,3.37902992466779,4.265898928315938,3.2403578804035327,4.854137334566589,0.0,4.723810563522186,4.175180819522917,4.949030169181882,4.038590941412291,3.899621949014565,2.9768219894732306,4.712934034094703,3.386839025849387,3.75362159977532,5.831550455868156,3.0316883672806383,4.010493116215045
cell17_HeLa_,3.2145741398000567,4.8241326191298,2.7933679309099864,3.2071709627720786,4.918705919859099,3.0758698644150497,3.5142080799750723,3.560908374369022,3.653558291442299,3.7678348488752,5.135224675771765,4.863843333326776,4.143428134088191,3.8324686866360085,2.758107127093713,3.1061888664902453,3.479177241671204,3.8533459091700206,3.9971983031291503,4.210037434874831,3.518344726308859,3.5812589531551486,3.00295129146605,3.226895209714902,4.26100438259679,3.2012000087226316,3.6370257671277955,4.723810563522186,0.0,3.181872749534959,3.7638406090049905,2.916704178205891,3.3998563705849993,3.284509775745199,3.648720603518548,4.3707552257927755,3.3573759954012647,3.738225324596923,3.3741947998428907,3.4057505620779427
cell618_K562_,3.31875319583439,4.603400806349456,2.7625525377645244,3.746460289490943,4.609054348964636,3.3081528755348826,3.100569432627693,3.497961066764999,3.2867130807971234,3.3489331077359337,5.071622377383772,4.760647014015795,4.372932109909492,3.8146376411931886,2.6896699095342225,2.7730448387391626,3.0719596903171773,3.7734369309199938,3.7536403117994794,4.290783854715586,3.643270137712845,4.056245654863151,2.8646939496606008,3.4384048033329826,3.874688743467338,2.835128219899044,3.20591899744346,4.175180819522917,3.181872749534959,0.0,3.3857051030054333,3.2702073349789673,3.2106500249282997,3.8793703765816003,3.6180314830651494,4.677635060488393,3.000407230560536,3.5175288594881398,2.9110648394376533,3.2038328864892573
cell603_GM12878_,3.612696426875047,5.670668017941561,3.5209221598987233,4.2849235174099105,5.633439117631829,3.404922774932395,3.931190570198935,4.37614138693746,3.4924477635150515,4.177799081589033,4.874147918508278,5.445821182169471,5.479964580458872,4.29027764219157,3.3892362372039555,3.3262151874970103,3.423273630224802,3.826870752031395,4.217850069096353,5.041104411649914,3.901378579660621,4.517163837307477,3.315756744573652,3.658169745605135,4.132699709102997,3.9471088698866437,3.384146260825312,4.949030169181882,3.7638406090049905,3.3857051030054333,0.0,3.4210400204806737,4.133250737154025,4.567931698438965,4.184069047146155,5.420881324205316,3.36119308250156,3.7139006431656547,3.929486622533668,3.7830504652338863
cell279_HAP1_,2.8370898876230486,4.351336200994664,3.021580258482474,3.4875500129762145,4.492283056606212,3.1913612495686303,3.397611466239434,3.4493619204041703,3.6848171850177094,3.5176827883457626,5.425702087199166,4.338911544924146,4.079887140445625,4.125591350035275,2.9254360648626174,3.016322416068088,3.3482237926669383,3.9058351738471373,4.490808922162054,4.030984290247341,3.4572075668521185,3.712547547701204,3.1813036821635814,3.087483444722946,3.7824851313233263,2.978366399569385,3.19021644085484,4.038590941412291,2.916704178205891,3.2702073349789673,3.4210400204806737,0.0,3.4096994288813995,3.463428597662006,3.6256219660086515,3.9314074199224667,2.901266762588719,4.0008967417052705,3.0694407732376687,3.2678331202708737
cell592_K562_,3.42902438518948,4.079508052576015,2.8421474921972036,3.520337555255867,4.306689963593241,3.595006821036973,3.6632917989359663,3.543302836160657,3.8892801135644017,2.7383090110298323,6.23319931802536,3.8761116286390114,3.9865405875502216,3.922406189884607,3.146252504368082,3.5702570352341194,2.9995488212014316,4.210774551544176,4.757045726232826,4.171992396877045,3.848786829457798,3.536964861302441,3.3386699886404605,2.541707963684635,3.904990173109142,2.7206455351811334,3.94169043338961,3.899621949014565,3.3998563705849993,3.2106500249282997,4.133250737154025,3.4096994288813995,0.0,3.184867211050363,4.17945567315757,3.9889258036844257,3.5263493551975236,4.4098699771841225,2.4251321435666653,3.5400573380557026
cell550_K562_,2.8764330843805324,3.9946669133860397,3.8067399912790134,2.9270346353822543,3.326784250793971,3.764911314059206,4.336669237422431,3.1402940018437113,4.649618749926987,2.847652427640818,7.754168772772278,2.5528852055011884,3.342598325532621,4.058969981964695,2.7087598061939304,4.246016770039271,3.9968283338013855,4.998212827234112,6.46134001619028,3.054175688222175,4.967854071749045,2.2347825440863724,3.638832236258054,1.7139962294244464,4.027565163455993,2.658937219752696,4.2414203162279875,2.9768219894732306,3.284509775745199,3.8793703765816003,4.567931698438965,3.463428597662006,3.184867211050363,0.0,4.527668201407728,2.95968351545158,3.2749907964676614,4.929931713886511,2.56679714847319,3.8670067304403135
