,cell512_K562_,cell583_GM12878_,cell393_HAP1_,cell173_HeLa_,cell137_HAP1_,cell370_HeLa_,cell38_HAP1_,cell577_GM12878_,cell517_GM12878_,cell524_GM12878_,cell611_GM12878_,cell545_K562_,cell266_HeLa_,cell616_K562_,cell599_K562_,cell553_GM12878_,cell566_K562_,cell585_K562_,cell98_HAP1_,cell509_K562_,cell488_HAP1_,cell610_K562_,cell151_HAP1_,cell365_HeLa_,cell617_GM12878_,cell47_HeLa_,cell592_K562_,cell560_K562_,cell324_HeLa_,cell562_GM12878_,cell249_HeLa_,cell484_HAP1_,cell571_GM12878_,cell15_HAP1_,cell77_HAP1_,cell398_HeLa_,cell262_HAP1_,cell595_GM12878_,cell267_HeLa_,cell112_HeLa_
cell488_HAP1_,3.6293006595778685,3.832217176571141,5.165717874029324,4.416363765473575,4.222137732438661,3.6695568222439627,3.898465014247167,5.350637248274429,4.6560528349684605,3.6215375055073276,3.4965748981379985,4.979513198671112,3.50651384800931,3.450165125334623,3.8324988777975273,3.7755618509064233,4.933551775180391,5.063687051326826,4.615481082587841,4.166022592988384,0.0,3.4019458932713755,3.8543655782363717,3.190640710395703,5.683133382415114,3.8114854111105716,4.500653533095379,6.015283360738962,4.030650284240741,3.229419958758027,4.787104383067888,5.442120497074364,3.9855854105171344,3.3373125105981165,3.3960766544751455,5.059120479564637,4.146242031275914,3.0885881156439625,4.342852059625176,3.745964096013564
cell610_K562_,3.3942995146282433,3.8252862780180124,5.302214231807117,4.724630218681977,3.5887580881643157,3.291737883066313,4.269750964702265,5.441254486973666,4.81370512491322,2.556128581777724,3.7828553694972493,4.947741007576666,3.1625864358086067,2.4606098543701806,2.5482270619311964,2.910765164666058,4.99038984062097,4.375485903405619,4.4825061667880455,3.2067256742919854,3.4019458932713755,0.0,4.169079348979015,3.098153465588952,5.878527948135183,4.184613194719889,3.844461147661986,6.116782683337069,3.5454353960131475,2.970215451112227,4.8336693234617005,5.918224642819698,3.9005654720756286,2.6739369966893776,3.3485873561804826,5.13037175648939,4.046316078052765,2.6183689103071544,4.348611603573409,3.337230661382878
cell151_HAP1_,3.205739806961997,3.5550127294231024,4.91905471774375,3.133327592529395,4.1834018474604076,3.0122769058404657,2.5948906497988595,3.7514215789449303,3.5798927101105638,3.633470167891714,3.0881479820156423,3.285437482941461,3.0746000786416623,3.2407328110278555,4.214779516779726,3.964524059472886,2.866775826012499,3.172615003463193,3.342494646652915,3.4405743897967693,3.8543655782363717,4.169079348979015,0.0,3.7554190321401286,3.9349322909203464,3.037284981678659,3.4584641707265904,3.6624204389069748,3.5070084045118777,3.9306293539054926,2.9441069197048684,4.5296086486696225,2.9167334593067555,4.649047174154428,3.2207917264885677,3.9085072478652734,3.7170441236784644,3.074893338919608,3.1796491260419293,2.5683369589946086
cell365_HeLa_,3.4320129077111723,3.9665072943039363,5.283772799983281,4.225953298538345,3.663075035624056,3.1897082993942565,3.663185581095518,4.920909959264868,4.279478374874743,3.1709432251848964,3.550784630456879,4.651787690961521,2.992929529464325,3.0128614213791765,3.2820280842226612,3.4569206873344935,4.261475634114648,4.373667073339985,3.8947820802652386,3.68476239482509,3.190640710395703,3.098153465588952,3.7554190321401286,0.0,5.136452833265779,3.6194744421526472,3.8151581822638967,5.548645294712312,3.5941465176796514,3.161655216552048,3.857505576381556,5.118997766470084,3.3681734174908957,3.5933905032032163,3.3724350820934808,4.482154641166016,3.8885542446706722,3.0642014413553516,3.7165443757202805,2.9326558733968096
cell617_GM12878_,3.7355656278294846,5.543829430729845,6.121335201050668,3.863030176057507,5.49850824960127,4.302148865335852,2.966004466670708,4.650677372227024,3.6025216155442883,5.872671158071348,4.730897366828362,3.386764255108754,3.7982845344208025,4.7050923660364425,5.595084633619349,5.626325888753259,3.056507496381048,3.244092770608826,4.2502111639851305,4.558454362804011,5.683133382415114,5.878527948135183,3.9349322909203464,5.136452833265779,0.0,4.087959986439621,3.899621949014565,3.0841133028348504,3.4230841007059296,4.894868663589666,3.14145015556646,4.981134321328717,4.187618614514797,6.252368331158514,5.41261050118322,3.1736801783326976,3.743061004497987,4.533379355839719,3.992879034643288,3.4436256154486937
cell47_HeLa_,3.1787594368124044,4.350541228704072,4.827665303875788,2.9972138259553773,4.156484204848169,3.3128601453792976,2.651274603207512,4.010943287630397,3.691057766214227,4.072268524666025,3.339645317573014,3.3923006639473035,2.9536845226948256,3.608635078998814,4.026983550504224,4.276774007435376,2.8253182813035336,3.0623635855843263,3.7977873415114725,3.8311253754543664,3.8114854111105716,4.184613194719889,3.037284981678659,3.6194744421526472,4.087959986439621,0.0,3.3142844802665294,3.561087995938895,2.987599140171088,3.9194614622035076,2.907470694819762,4.711043691283233,3.6494729915294966,5.005300951848072,3.6914181644311155,3.302529933622925,3.396299330541475,3.177250839373243,2.8644159664708697,2.554523273851101
cell592_K562_,2.8271084602223193,4.637430626738846,5.722649511236435,3.2357982490345583,3.903340955958811,3.133593314946208,2.8544496004405167,4.245121667738858,3.899273690756891,4.1533978951111195,3.6632917989359663,3.006811309756034,2.95705402376381,2.7713778112523975,3.164122065665147,4.162131172439576,2.623428654963021,2.551958484728134,4.035573522608683,3.3304098772878703,4.500653533095379,3.844461147661986,3.4584641707265904,3.8151581822638967,3.899621949014565,3.3142844802665294,0.0,3.526132944859582,3.4380346419254253,3.9067053847517914,3.0028365271009267,5.71797317799244,3.480640718751578,4.729300837879395,4.19709936401133,3.1735433556831696,3.4831821682080992,3.2527066595217384,3.42896780525045,2.4787229970883495
cell560_K562_,2.9739235268427118,5.340224824821567,6.413059851349392,3.121614625878969,5.0614037173063275,3.958748928488246,2.277297141191302,4.070951049997305,3.889410440892143,6.2604930004313015,4.806381820151357,2.159537979137243,3.588338185055153,4.6746235544808,5.59015338551693,5.4030261508909465,2.124279605663977,2.1726590263632097,4.4903902532014035,4.092449750775656,6.015283360738962,6.116782683337069,3.6624204389069748,5.548645294712312,3.0841133028348504,3.561087995938895,3.526132944859582,0.0,3.4991202439220235,5.495765184174293,2.50605055322165,5.618670985935577,3.572212048913187,7.193432673208044,5.3946575055548465,2.9445913421710985,4.402869355653747,4.445078360119069,3.0279683555316685,2.865661492319675
cell324_HeLa_,2.6577081152507507,3.9445481865808363,4.65019455780841,3.253296481583301,3.96636357019346,3.050165856052897,2.5383447678261652,4.0596858637463935,3.4791824266899622,3.8742076284860594,3.682269137953159,3.215954131633527,2.468852368888282,3.3458229359488554,3.5489667066795603,3.617274775077648,2.890294480114644,3.067381791406825,3.524438363531675,3.3283750886543153,4.030650284240741,3.5454353960131475,3.5070084045118777,3.5941465176796514,3.4230841007059296,2.987599140171088,3.4380346419254253,3.4991202439220235,0.0,3.213677961293741,2.827901875132098,4.596648079019003,3.4654957582569033,4.416682154826313,3.902857052268272,2.6559052631397893,3.615860555677102,2.9709408102535484,3.003975502913751,2.52280087367061
cell562_GM12878_,3.052153075516018,3.7927552396744955,5.458036394632163,4.012296888633574,3.3320767394996778,3.079946798407156,3.534745229553773,4.75138597735783,4.053736537059779,3.3914489982223266,3.498207044625433,4.385710989211176,2.8359213892374324,2.640125122556239,2.8676341766235325,3.1106481727975677,4.082381217869451,3.95102132082398,3.905773387439369,3.214373869246961,3.229419958758027,2.970215451112227,3.9306293539054926,3.161655216552048,4.894868663589666,3.9194614622035076,3.9067053847517914,5.495765184174293,3.213677961293741,0.0,4.034223873019593,5.2873844021191285,3.5112006402064253,3.3797551018587013,3.623632606530082,4.24471088883312,3.6059597070631946,2.5951028410305166,3.8333465278204355,3.018462031870204
