,cell547_K562_,cell382_HeLa_,cell577_GM12878_,cell453_HAP1_,cell475_HeLa_,cell575_K562_,cell524_GM12878_,cell611_GM12878_,cell266_HeLa_,cell553_GM12878_,cell254_HeLa_,cell566_K562_,cell23_HAP1_,cell601_GM12878_,cell522_K562_,cell151_HAP1_,cell202_HeLa_,cell552_K562_,cell565_K562_,cell213_HAP1_,cell474_HAP1_,cell508_GM12878_,cell543_K562_,cell513_K562_,cell329_HeLa_,cell603_GM12878_,cell542_GM12878_,cell402_HAP1_,cell560_K562_,cell319_HeLa_,cell581_GM12878_,cell516_GM12878_,cell200_HAP1_,cell414_HAP1_,cell161_HeLa_,cell276_HAP1_,cell537_K562_,cell284_HeLa_,cell72_HAP1_,cell219_HeLa_
cell254_HeLa_,3.3886801511980567,2.3788017209609245,4.243455802387846,4.391185352145737,2.796343324706877,3.3910507411475965,3.457292201925456,3.21656451274195,2.335357840462125,3.3778916469773566,0.0,3.2411109008815773,3.5397254782960945,4.043453142963866,3.5376561250155927,3.367214534241946,2.7055625092492774,2.92829625591762,3.206923318526151,2.9024760163071224,4.119656490290401,3.3058503920277054,3.47638960070819,3.7833290744636976,3.342296377436134,3.399802986047643,3.9285246681608337,3.3408535826016212,4.2738092555034655,2.414538925200985,2.9655778702602076,3.352119150813365,3.580577729900921,3.298935125564016,3.8719479417031755,3.168757319080535,3.440541609978507,3.4457751098305254,3.114964661097307,2.5879649758038035
cell566_K562_,4.0704516133978785,3.1463466578469115,3.746114431437178,6.6828196539363525,3.0704521045807427,1.5604468066279205,5.106577994752103,3.964321238956931,2.7500359256152236,4.86665288290375,3.2411109008815773,0.0,2.133591972760653,6.150256828604064,2.322710868269091,2.866775826012499,2.7662167030164375,1.9490298628312477,4.323676766988404,2.1593394809592388,4.876846865655964,3.423864130956015,1.8526850720660488,1.6747851945001033,4.06810830139964,3.9172376319574003,2.9028343880669665,3.3434216047700396,2.124279605663977,2.150058541743521,2.9067021073748402,3.050809113832637,5.093781789794791,4.54976753979548,3.461758432544115,4.349685134079927,4.472690068171902,2.0346571441786274,2.753871454961703,2.246016943419488
cell23_HAP1_,4.96332694663685,3.5701108425324666,3.6289298484277275,7.383605983623665,3.4667824287595135,2.0438465326104716,5.3522139623800085,4.048324760092211,3.0142198787812244,5.262450029571844,3.5397254782960945,2.133591972760653,0.0,6.6121787200233335,3.007069614838564,3.0550360309680418,2.8438805679083172,2.609408031967555,5.025395315840305,2.5544274645274574,4.780981444262786,3.6167597537731195,2.4214751836642714,2.3287992487412605,4.814503759774803,4.340620004620568,3.312750026361474,3.3499377423468095,2.480041281807325,2.439479926069248,2.8215058915338442,3.107082045004982,5.504354857045874,4.801988490850025,3.5620294078561128,4.700646369789917,5.415514468326371,2.368985913241176,3.0838361869448,2.030729276427996
cell601_GM12878_,3.4471803102161807,3.1788334681144037,5.431237611205157,3.046637848340874,4.155056102110018,6.525196314491911,2.9386134822135763,3.8206581763071124,3.9090114962761704,3.2654803210306245,4.043453142963866,6.150256828604064,6.6121787200233335,0.0,5.583930336845927,4.5307425879934415,4.385560384168954,5.834953272666906,2.998789018452153,5.7167823928852295,4.607646870291797,4.380742828694207,6.645886945607355,7.172113271487621,3.1747581995067455,4.217850069096353,6.301160734954925,4.864317765621056,7.421388161407503,4.691020186863611,4.692879363647822,4.284907673977586,3.147532864764701,3.0273694378992184,6.141036300498163,3.334777724436664,2.492196193522485,6.530959973488562,4.986029078284448,5.353467700924083
cell522_K562_,4.303093921123725,3.3010161582961848,4.21663854545637,6.094921399814709,3.599490216684801,2.4526495001914617,4.576647741416134,3.8094217716574708,3.2896787966194667,4.378066469009937,3.5376561250155927,2.322710868269091,3.007069614838564,5.583930336845927,0.0,3.4461210902239556,3.2870720938385927,2.8212347100151662,3.648662500905021,2.974063565907325,5.34910790492499,3.9038958079871797,2.3999988510033665,2.5094186294541214,3.8070154591966725,4.321042950131712,3.295114722375063,3.781783225341535,2.8928696942291316,2.6732599831847565,3.5422873032283126,3.6281038528832377,5.040638926563755,4.451670136121024,4.040302935161153,4.556508858435153,4.197569645276353,2.904242473608274,3.1057596331223474,2.8610843455900246
cell151_HAP1_,3.7104369104090047,3.032243917712441,3.7514215789449303,5.6753753359673205,3.658494904799329,3.294964762723735,3.633470167891714,3.0881479820156423,3.0746000786416623,3.964524059472886,3.367214534241946,2.866775826012499,3.0550360309680418,4.5307425879934415,3.4461210902239556,0.0,3.1786874730994645,3.2299045470699403,3.6252016643286784,3.2342180485208476,4.540068189720422,3.4471077291299723,3.5771299517802158,3.4233161325358124,3.6840963119461634,3.7210273992224248,3.412935931753083,3.6681593655566695,3.6624204389069748,2.8678713246170995,2.8845813500459827,3.089901042220758,4.479009763921025,3.703102595688328,3.733821793551333,3.862371556762435,3.939811354306532,3.5099636174365845,3.2553342768527154,2.8447257048978787
cell202_HeLa_,3.217675783107695,2.533026858722481,3.9737728196255446,4.735107649470576,2.932834561108583,2.8034401245452205,3.701741814093137,3.2799579453256973,2.4863510631103205,3.4270773118737425,2.7055625092492774,2.7662167030164375,2.8438805679083172,4.385560384168954,3.2870720938385927,3.1786874730994645,0.0,2.768029602064887,3.4435992622826754,2.6506255828537366,4.2346765786575835,3.0659133097464117,3.0351401699218927,3.088579123108881,3.2631334305664508,3.5931549480338996,3.5769253151718443,2.770352130773352,3.3545949548673475,2.475481251907129,2.8456216629744624,2.8205929998707813,3.90856882022536,3.0512406764953655,3.9513096778102126,3.2953800169664778,3.3710927115641107,2.7706292301018953,2.739056892580156,2.1234233204888207
cell552_K562_,3.9378724258630404,3.250072449374908,4.164881095189905,6.450765006189387,3.0403951282829356,2.208492003420983,4.830805060405494,3.998192257641546,2.8163553786620437,4.452873824443987,2.92829625591762,1.9490298628312477,2.609408031967555,5.834953272666906,2.8212347100151662,3.2299045470699403,2.768029602064887,0.0,4.072304268965689,2.741111431943544,4.527258117229463,3.5467994205458737,2.227316066632107,1.9216781376506709,3.9749476132220622,4.311495638428265,2.9719142152920677,3.1344784222911044,2.41226768634504,2.3259094347633194,2.9951385912307256,3.026913053261694,4.700991924448076,4.587160890389943,3.576979348847231,4.036998171690103,4.407620828846662,2.4118049390759473,3.0458765884716668,2.211436874743187
cell565_K562_,2.902045585741838,2.6837788501768727,4.582868266427094,3.101355407271355,3.231362920240812,4.504408488433167,2.7310549001525115,3.0788365279833183,3.0088546484235774,2.5711200806338828,3.206923318526151,4.323676766988404,5.025395315840305,2.998789018452153,3.648662500905021,3.6252016643286784,3.4435992622826754,4.072304268965689,0.0,3.8910226150082057,4.461047019358098,3.7397304156161537,4.464855539240354,4.89537600424407,2.5607609501985253,3.3544535466616274,4.751905832890765,3.5992328724713945,5.214146796468697,3.4364105297117593,3.765166692259646,3.5861705176618743,2.845934567294453,2.7196570195330123,4.548631673822913,3.0081794303398115,2.5088491887965656,4.472925738494705,3.6942333347898835,4.006016732513267
cell213_HAP1_,3.9107977241202287,3.0937852362286167,4.369848380607321,6.096569190786239,2.9581215228325854,1.5862043500645209,4.531086750463713,3.9268726384705905,2.5832617583515223,4.377105403073969,2.9024760163071224,2.1593394809592388,2.5544274645274574,5.7167823928852295,2.974063565907325,3.2342180485208476,2.6506255828537366,2.741111431943544,3.8910226150082057,0.0,4.940569434529058,3.6241186089178754,1.6218072873640392,2.2260711861881433,4.0145313760974854,3.658169745605135,3.1031722275573452,3.100537269702591,3.1215476089326475,2.122918522385353,2.8890777981497537,3.215958456880333,4.405670819495743,3.823455198556948,3.7635269427000764,3.8762579673275583,4.157260731900648,1.3963134980972882,2.372532724886721,2.124419885972797
