,file_name,nonzero_values
684,arc_pair_188940,343
685,arc_pair_94499,335
686,arc_pair_298446,399
687,arc_pair_735332,281
688,arc_pair_145139,295
689,arc_pair_224185,297
690,arc_pair_230596,331
691,arc_pair_734489,351
692,arc_pair_417216,299
693,arc_pair_218510,604
694,arc_pair_80823,511
695,arc_pair_673630,314
696,arc_pair_309599,556
697,arc_pair_540806,492
698,arc_pair_268307,273
699,arc_pair_350519,373
700,arc_pair_280099,303
701,arc_pair_341308,983
702,arc_pair_693171,284
703,arc_pair_64622,354
704,arc_pair_417353,412
705,arc_pair_75033,299
706,arc_pair_395950,358
707,arc_pair_271576,396
708,arc_pair_503971,336
709,arc_pair_441860,393
710,arc_pair_644955,267
711,arc_pair_340519,476
712,arc_pair_370005,298
713,arc_pair_122842,420
714,arc_pair_190166,514
715,arc_pair_132141,433
716,arc_pair_135954,1890
717,arc_pair_50957,371
718,arc_pair_37493,601
719,arc_pair_479366,439
720,arc_pair_157692,433
721,arc_pair_467682,266
722,arc_pair_588011,543
723,arc_pair_360286,417
724,arc_pair_293066,490
725,arc_pair_604131,843
726,arc_pair_477682,404
727,arc_pair_600172,315
728,arc_pair_664399,681
729,arc_pair_160918,387
730,arc_pair_511736,455
731,arc_pair_664663,657
732,arc_pair_437073,702
733,arc_pair_632146,440
734,arc_pair_156596,281
735,arc_pair_501389,261
736,arc_pair_327218,405
737,arc_pair_220345,418
738,arc_pair_452173,344
739,arc_pair_13123,310
740,arc_pair_561822,803
741,arc_pair_452523,346
742,arc_pair_86559,291
743,arc_pair_53443,319
744,arc_pair_730864,610
745,arc_pair_678882,314
746,arc_pair_420132,393
747,arc_pair_536384,544
748,arc_pair_217718,289
749,arc_pair_467513,433
750,arc_pair_438851,394
751,arc_pair_255091,349
752,arc_pair_199605,553
753,arc_pair_403202,730
754,arc_pair_345259,528
755,arc_pair_542495,485
756,arc_pair_190074,365
757,arc_pair_362829,346
758,arc_pair_314606,367
759,arc_pair_692222,295
760,arc_pair_716405,309
761,arc_pair_707644,334
762,arc_pair_366186,457
763,arc_pair_521504,480
764,arc_pair_406846,393
765,arc_pair_127314,361
766,arc_pair_75064,374
767,arc_pair_57816,336
768,arc_pair_641653,629
769,arc_pair_627485,366
770,arc_pair_251894,337
771,arc_pair_145882,435
772,arc_pair_236100,301
773,arc_pair_151341,658
774,arc_pair_130652,1722
775,arc_pair_719066,411
776,arc_pair_543142,311
777,arc_pair_254815,312
778,arc_pair_325767,533
779,arc_pair_468520,362
780,arc_pair_600826,606
781,arc_pair_58825,351
782,arc_pair_117464,572
783,arc_pair_563848,360
784,arc_pair_317753,607
785,arc_pair_701143,342
786,arc_pair_365196,339
787,arc_pair_736230,496
788,arc_pair_199486,806
789,arc_pair_244403,271
790,arc_pair_441708,275
791,arc_pair_92799,796
792,arc_pair_77235,408
793,arc_pair_637743,357
794,arc_pair_13877,265
795,arc_pair_508405,403
796,arc_pair_384183,293
797,arc_pair_98880,333
798,arc_pair_286531,487
799,arc_pair_129371,404
800,arc_pair_479960,243
801,arc_pair_31642,302
802,arc_pair_526310,561
803,arc_pair_207626,347
804,arc_pair_236878,310
805,arc_pair_457998,290
806,arc_pair_552051,277
807,arc_pair_130853,423
808,arc_pair_360029,588
809,arc_pair_296531,258
810,arc_pair_485214,614
811,arc_pair_106062,250
812,arc_pair_496068,268
813,arc_pair_383902,395
814,arc_pair_109397,323
815,arc_pair_708899,334
816,arc_pair_556854,425
817,arc_pair_457424,302
818,arc_pair_573219,1105
819,arc_pair_497696,360
820,arc_pair_516749,279
821,arc_pair_689045,383
822,arc_pair_67167,613
823,arc_pair_723730,385
824,arc_pair_690264,539
825,arc_pair_172266,315
826,arc_pair_58274,294
827,arc_pair_22081,831
828,arc_pair_132182,784
829,arc_pair_700400,1037
830,arc_pair_469576,475
831,arc_pair_643029,271
832,arc_pair_717516,590
833,arc_pair_431471,1001
